context.segment_at_send,context.industry,context.company_name,context.company_size,context.role,context.seniority,context.department,context.lead_source_at_send,context.prior_opens,context.prior_clicks,context.prior_replies,context.prior_bounces,context.lifetime_emails_received,context.days_since_last_engagement,context.last_engagement_at,context.last_engagement_type,context.country,context.timezone,context.language,context.sent_at,context.day_of_week,context.hour_local,context.hour_utc,context.days_since_signup,context.days_since_last_purchase,context.sequence_number,context.is_first_touch,context.days_since_previous_send,analysis.campaign_type,analysis.intent,analysis.subject_type,analysis.has_urgency,analysis.has_emoji,analysis.has_personalization,analysis.body_length,analysis.framework,analysis.persuasion,analysis.emotion,analysis.social_proof,analysis.cta_type,analysis.cta_count,analysis.has_offer,analysis.offer_type,metrics.delivered,metrics.bounce_type,metrics.placement,metrics.opened,metrics.opened_at,metrics.time_to_open_seconds,metrics.clicked,metrics.clicked_at,metrics.replied,metrics.reply_sentiment,metrics.forwarded,metrics.goal_completed,metrics.converted_at,metrics.revenue,metrics.order_value,metrics.unsubscribed,metrics.spam_complaint,metrics.hard_block,metrics.negative_reply,copy.subject,copy.preheader,copy.body,decision_rationale
trial_active,agency,Crestview Partners,201_1000,COO,vp,operations,partner,18,3,3,0,21,51,2026-05-10T09:22:39.281945+00:00,reply,CA,America/Toronto,en,2025-07-23T10:42:06+00:00,wednesday,6,10,45,,7,false,17,transactional,activate,curiosity_gap,false,true,true,medium,aida,liking|scarcity|commitment,aspiration,hard_stat,read,2,false,,true,,primary,true,2025-07-23T11:22:43+00:00,2437,false,,false,,false,false,,,,false,false,false,false,"{{company_name}}, unlock what most agencies miss 🚀",Find out how top-performing teams like yours break through the plateau.,"Hi {{first_name}},

We’ve noticed Crestview Partners is among the select few agencies exploring the full potential of MetrixFlow—and we think you’re on the verge of something big. Did you know that agencies using MetrixFlow see a 32% faster project delivery rate on average?

Ready to discover the system tweaks that set high-growth teams apart? Dive into our guide for operations leaders: [CTA_1: Read Now]

Want an insider look at how agencies scale with less overhead? Here’s a detailed benchmark report: [CTA_2: See Benchmarks]

Let’s help you lead Crestview’s next leap.","A curiosity-gap subject with a dynamic emoji targets the aspirational, operations-focused COO. The message uses AIDA, scarcity (few agencies tap the platform fully), and hard stats for social proof. Two CTAs—one actionable guide, one benchmark—align to the read intent, fostering commitment without urgent pressure."
first_time_buyer,other,Bluepeak Collective,11_50,Sales Director,vp,sales,content_download,3,2,2,0,6,128,2026-02-22T09:22:39.282178+00:00,reply,US,America/Los_Angeles,en,2026-01-23T20:26:45+00:00,friday,12,20,524,121,4,false,16,promotional,referral,statement,false,false,true,medium,fab,liking|authority,curiosity,hard_stat,read,1,false,,true,,primary,false,,,false,,false,,false,false,,,,false,false,false,false,See how other Sales Directors at {{company_name}} are growing their networks,Discover what’s working for teams like yours inside Bluepeak Collective.,"Hi {{first_name}},

As a fellow sales leader, you know the value of connections. Over 78% of Bluepeak Collective new users report expanding their qualified network in the first month—just by inviting peers who trust their expertise.

Curious what strategies your industry colleagues are using to make the most of referral opportunities? We’ve compiled actionable insights that may surprise you.

Read the latest success stories and see if there’s a fit for your team. [CTA_1: Read the Referral Report]
","This email leverages curiosity and authority by highlighting peer success and referencing concrete stats. The FAB framework emphasizes the immediate benefit of network growth. Personalization increases relevance, while the single read CTA aligns with the informational, non-urgent intent."
first_time_buyer,hospitality,Pioneer Digital,51_200,Financial Analyst,vp,finance,product_signup,9,1,1,1,9,91,2026-03-31T09:22:39.282359+00:00,reply,SG,Asia/Singapore,en,2025-03-02T18:58:51+00:00,monday,2,18,537,10,3,false,18,transactional,drive_purchase,statement,false,false,false,medium,aida,commitment|scarcity|reciprocity,pain_relief|status,user_count,buy,5,true,free_ship,true,,promotions,false,,,false,,false,,false,false,,,,false,false,false,false,Simplify Purchasing for Your Team Today,Pioneer Digital’s exclusive free shipping unlocks smarter hospitality sourcing.,"Managing budgets shouldn’t mean sacrificing efficiency. Pioneer Digital gives you access to a streamlined ordering platform used by over 8,000 hospitality leaders to keep costs down and operations running seamlessly.

Now, for a limited time, your first order qualifies for free shipping—no minimum required. That’s our way of welcoming you and making your first purchase risk-free.

Cut through the hassle. Join a growing community that’s already transformed their procurement processes.

Explore eligible products now [CTA_1: View Products]

Select your essentials [CTA_2: Shop Now]

Apply your exclusive free shipping at checkout [CTA_3: Redeem Free Shipping]

Have questions? Our team is here to help [CTA_4: Contact Support]

Experience procurement without obstacles [CTA_5: Start Your Order]","A medium-length, transactional email was chosen to clearly communicate the free shipping offer to a financially-minded hospitality VP. The AIDA framework drives urgency with scarcity and commitment cues, while emphasizing pain relief and status through reference to the large user base and procurement process efficiency."
churned,other,Stonebridge Group,11_50,Growth Lead,entry,marketing,social,6,4,4,2,25,74,2026-04-17T09:22:39.282532+00:00,reply,US,America/New_York,en,2025-07-31T14:15:22+00:00,thursday,10,14,573,300,3,false,7,lifecycle,drive_purchase,statement,false,false,true,medium,fab,commitment|reciprocity,curiosity|status,case_study,buy,1,true,free_ship,false,soft,,false,,,false,,false,,false,false,,,,false,false,false,false,Stonebridge Group: See What’s Changed Since You Left,Discover new features and get free shipping on your next order—just for past customers.,"Hi {{company_name}} Team,

Since you last worked with us, Stonebridge Group has rolled out powerful new tools to streamline your growth strategies. Our latest case study shows how similar businesses saved 20% in acquisition costs after returning. To welcome you back, we’re offering free shipping on your next purchase.

Ready to see the improvements for yourself?

[CTA_1: Reclaim your free shipping]
","This approach uses the FAB framework to highlight new features, incorporates case study social proof for credibility, and leverages reciprocity via the free shipping offer, all while personalizing the message to re-engage a churned account."
repeat,finance,Summit Works,201_1000,Content Strategist,director,marketing,referral,33,5,5,1,34,340,2025-07-25T09:22:39.282742+00:00,reply,CA,America/Toronto,en,2025-09-20T12:58:55+00:00,saturday,8,12,650,382,8,false,11,lifecycle,renew,statement,false,false,true,medium,fab,liking,status|aspiration,hard_stat,buy,2,false,,true,,primary,true,2025-09-20T15:22:31+00:00,8616,false,,false,,false,false,,,,false,false,false,false,"Summit Works, let’s elevate your content strategy again",See how 85% of clients renewed for next-level results—are you ready to rejoin them?,"Hi {{company_name}} team,

As a director shaping marketing for a forward-thinking company, your standards are clear. Summit Works’ Advanced Insights Suite helped over 85% of our clients increase campaign ROI last year—many have renewed for that reason alone.

With new features built for strategic storytellers, you can continue to position your brand as an industry leader.

Ready to resume? [CTA_1: Renew Your Suite]

Or see what’s new since we last connected. [CTA_2: Explore Latest Features]","The FAB framework highlights recent client results (hard stat) and positions renewal as a status move for a senior marketer. Personalization, aspiration, and a dual-CTA approach fit the lifecycle and intent for a repeat client who has not engaged in months."
trial_expiring,manufacturing,Redstone Group,51_200,Growth Lead,entry,marketing,webinar,12,2,2,1,29,28,2026-06-02T09:22:39.282777+00:00,reply,US,America/Los_Angeles,en,2025-05-20T20:43:34+00:00,tuesday,13,20,89,,5,false,20,promotional,drive_purchase,announcement,true,false,true,medium,fab,authority|scarcity|reciprocity,fear,hard_stat,buy,2,false,,true,,primary,true,2025-05-20T22:04:44+00:00,4870,false,,false,,false,false,,,,false,false,false,false,Redstone Group: Your trial is ending soon—don’t lose your manufacturing edge,Your exclusive access to ProcessPilot Pro ends in 48 hours. Secure your account today.,"Hi {{company_name}} team,

Your complimentary ProcessPilot Pro trial is about to expire in just 48 hours—this is your final window to keep uninterrupted access to the platform over 2,400 manufacturers rely on to streamline production and reduce downtime.

As a Growth Lead, you know how quickly missed insights can snowball in high-volume operations. Don’t risk losing the real-time analytics and workflow automations you’ve tested over the past weeks.

Keep your teams ahead of costly errors before your trial closes. [CTA_1: Lock In Full Access]

Questions or need a custom package? We’re here to help. [CTA_2: Schedule a Quick Call]","This email uses a FAB (Features-Advantages-Benefits) framework emphasizing fear of loss to prompt action, leveraging hard stats for authority and referencing scarcity through the imminent trial expiration. Personalization via {{company_name}} and role-appropriate language make the message relevant to the recipient’s experience."
trial_active,agency,Stonebridge Works,1_10,Director,senior,other,webinar,6,3,3,0,20,63,2026-04-28T09:22:39.282810+00:00,reply,GB,Europe/London,en,2025-06-23T03:43:23+00:00,monday,4,3,85,,6,false,3,website_triggered,activate,question,false,false,false,medium,aida,authority,aspiration,case_study,read,2,true,bundle,true,,primary,false,,,false,,false,,false,false,,,,false,false,false,false,How is your trial with FrostEdge Pro going at Stonebridge Works?,See how agencies like yours scale faster—plus exclusive bundle savings,"Hi there,

As your trial with FrostEdge Pro continues, I wanted to check in—are you seeing the workflow gains you expected? Many agencies we work with found our bundled Automation Suite especially valuable. In fact, ClearSky Creative boosted deliverables by 38% after switching to FrostEdge’s agency bundle.

Curious how they did it? Read their story here: [CTA_1: Read the ClearSky case study]

If you’re considering next steps, we’ve put together a limited FrostEdge Pro bundle just for trial users at Stonebridge Works. Review what’s included: [CTA_2: Explore your trial bundle]

Best,
Ella from FrostEdge","The AIDA framework was used to guide the reader from attention (checking in on trial progress), through interest (agency-specific results), to desire (case study and social proof), culminating in two clear CTAs relevant to agency directors. The medium length allows for a compelling case study reference and an offer introduction, supporting the aspirational and authority persuasion tags."
vip,nonprofit,Pioneer Systems,1_10,FP&A Manager,director,finance,paid_search,44,11,11,1,95,214,2025-11-28T09:22:39.283197+00:00,reply,SG,Asia/Singapore,en,2026-03-24T10:27:20+00:00,tuesday,18,10,413,79,8,false,4,lifecycle,renew,curiosity_gap,false,false,false,medium,none,authority|reciprocity|scarcity,pain_relief|status,logos,buy,2,false,,true,,primary,false,,,false,,false,,false,false,,,,false,false,false,false,What’s keeping top financial teams ahead in 2026?,Discover how leaders like you streamline planning at Pioneer Systems.,"As the FP&A Manager at Pioneer Systems, you know how crucial it is to stay ahead in a fast-evolving nonprofit landscape. Leading organizations trust Cascade Analytics to cut manual reporting and improve forecasting accuracy—and their logos say it all.

If you’ve felt the pressure of month-end crunch, this is your invitation to rejoin the finance innovators. Renew today and regain your competitive edge. [CTA_1: Renew Your Access]

Still have questions? See how directors in your field are maximizing every budget with Cascade. [CTA_2: See How It Works]","A curiosity-gap subject draws attention from an experienced VIP user, while the body leverages authority, reciprocity, and scarcity with references to leading organizations, pain points, and the competitive advantages of renewal. The social proof of 'logos' builds trust, and two clear CTAs facilitate both immediate action and further exploration, matching the medium word count."
first_time_buyer,healthcare,Clearpath Technologies,201_1000,CFO,senior,finance,partner,11,2,2,1,14,119,2026-03-03T09:22:39.283230+00:00,reply,IN,Asia/Kolkata,en,2026-06-03T19:59:42+00:00,thursday,1,19,303,8,3,false,10,website_triggered,drive_purchase,announcement,true,false,false,medium,aida,authority,status|curiosity,user_count,buy,4,true,percent_off,true,,primary,true,2026-06-03T21:33:42+00:00,5640,false,,false,,false,false,,,,false,false,false,false,Limited Time: Get 30% Off MedLedger Suite—Act Before It’s Gone,Healthcare CFOs like you trust MedLedger. Secure this exclusive offer while it lasts.,"Are you ready to streamline financial operations at Clearpath Technologies? For a limited time, our MedLedger Suite is available at 30% off—an exclusive rate crafted for decision-makers in healthcare finance. This offer expires soon, so now is the moment to act.

With over 2,000 financial leaders already leveraging MedLedger for regulatory compliance and cost efficiency, you’ll be in good company. Our expert support and robust security standards give your team a proven, trusted solution.

Make the strategic leap forward—don’t let this opportunity pass by. Upgrade your financial systems today and claim your exclusive discount before it ends.

[CTA_1: Buy Now]
[CTA_2: View Offer Details]
[CTA_3: Schedule a Demo]
[CTA_4: Contact a Specialist]","This email uses urgency and authority to motivate a first-time buyer, leveraging industry credibility with user count social proof. The AIDA framework drives interest and action, while multiple buy-oriented CTAs accommodate a finance executive’s need for information and support in a medium-length format."
churned,education,Brightline Group,1000_plus,General Manager,entry,other,social,8,4,4,0,21,214,2025-11-28T09:22:39.283649+00:00,reply,GB,Europe/London,en,2026-02-09T23:18:20+00:00,monday,23,23,794,310,1,true,,nurture_drip,re_engage,statement,true,false,false,medium,fab,scarcity|commitment|authority,humor,testimonial,read,1,false,,true,,promotions,false,,,false,,false,,false,false,,,,false,false,false,false,Last chance to rediscover learning with Brightline Group,Our doors are nearly closing – don’t miss this final invitation to reconnect.,"We promise, we won’t quiz you! But time is running out to reclaim your spot in the Brightline Group community. Our new Learning Tracks, curated by award-winning educators, are already making waves—just ask Jamie F., who called them “a game-changer for our staff development.”

Once this opportunity closes, it’s gone. Ready for a second shot at smarter learning? [CTA_1: See What’s New]","A scarcity-driven FAB approach was selected, using urgency ('time is running out') and 'last chance' language to spur re-engagement from a churned segment. Humor lowers barriers for a previously engaged but lapsed audience, while a testimonial bolsters authority and social proof. The read CTA is tailored to nurture, encouraging exploration over hard-selling."
